experiment,depth,width,repetition,epoch,loss,val_loss,sparsity
simplegrid1,7,11,1,80,0.013973040506243706,0.0154885808005929,"{'weight_avg': [0.047956373542547226, 0.017790518701076508, 0.027182795107364655, -0.049691736698150635, -0.0727914348244667, 0.15290148556232452, 0.042603012174367905, 0.12555161118507385], 'bias_avg': [0.048146918416023254, 0.007390916813164949, -0.013868069276213646, -0.0009387347381561995, 0.04397105798125267, 0.02385091595351696, 0.04198937490582466, 0.06657115370035172]}"
simplegrid1,7,11,1,20,0.015794983133673668,0.016759010031819344,"{'weight_avg': [0.04943496361374855, 0.013011026196181774, 0.03490391746163368, -0.04069029539823532, -0.01593189127743244, 0.1233900934457779, 0.041518114507198334, 0.11144440621137619], 'bias_avg': [0.03388345241546631, 0.0007481202483177185, -0.007551177870482206, 0.0016945532988756895, 0.0447952039539814, 0.027823591604828835, 0.04986455664038658, 0.06977882981300354]}"
simplegrid1,7,11,1,60,0.014434167183935642,0.015544497407972813,"{'weight_avg': [0.04939392954111099, 0.015728957951068878, 0.030612073838710785, -0.047330476343631744, -0.06191132217645645, 0.1472800076007843, 0.04220680147409439, 0.12171025574207306], 'bias_avg': [0.04114329442381859, 0.0056614442728459835, -0.014251559041440487, 0.0005283281207084656, 0.044296469539403915, 0.026485858485102654, 0.043935682624578476, 0.06790478527545929]}"
simplegrid1,7,11,1,40,0.015089411288499832,0.016053294762969017,"{'weight_avg': [0.0512247309088707, 0.015480522066354752, 0.0356282964348793, -0.04320685565471649, -0.03734072297811508, 0.1377948522567749, 0.04053584858775139, 0.11607549339532852], 'bias_avg': [0.03566419333219528, 0.0040352195501327515, -0.01071399636566639, 0.0025948702823370695, 0.04612034186720848, 0.028408950194716454, 0.045032840222120285, 0.06889984756708145]}"
simplegrid1,7,11,1,0,0.06017596274614334,0.05509627237915993,"{'weight_avg': [0.01710009016096592, 0.01633559912443161, 0.02344098687171936, -0.04724455624818802, -0.03365981578826904, 0.04370388761162758, 0.004297894425690174, -0.046581510454416275], 'bias_avg': [0.027499107643961906, 0.029776681214571, 0.014193727634847164, 0.01650119200348854, 0.0075671374797821045, 0.017828263342380524, 0.007337647955864668, -0.04520660266280174]}"
simplegrid1,7,11,0,80,0.014294445514678955,0.015471299178898335,"{'weight_avg': [0.06512624770402908, 0.0020783410873264074, -0.0165866706520319, 0.0291653573513031, -0.0071564773097634315, -0.007014111150056124, 0.01567370817065239, 0.13197080790996552], 'bias_avg': [0.03208937868475914, 0.009651764295995235, 0.06823543459177017, 0.012239173986017704, 0.04619629681110382, 0.01946859061717987, 0.06047157198190689, -0.019832409918308258]}"
simplegrid1,7,11,0,20,0.016689259558916092,0.01746227592229843,"{'weight_avg': [0.05955220386385918, 0.009207879193127155, 0.004469684325158596, 0.02772420458495617, -0.008794371038675308, 0.0006943958578631282, 0.011177686043083668, 0.11585881561040878], 'bias_avg': [0.01944781094789505, 0.030881471931934357, 0.0653376504778862, 0.022368239238858223, 0.03125211223959923, 0.02100064605474472, 0.055232152342796326, -0.020608965307474136]}"
simplegrid1,7,11,0,60,0.014732757583260536,0.015222682617604733,"{'weight_avg': [0.06488257646560669, 1.1727460332622286e-05, -0.016862908378243446, 0.028774749487638474, -0.010498722083866596, -0.0008401225204579532, 0.013258838094770908, 0.12922418117523193], 'bias_avg': [0.029543332755565643, 0.015518688596785069, 0.06719762086868286, 0.016277458518743515, 0.03578426316380501, 0.01975187472999096, 0.0590985044836998, -0.021853007376194]}"
simplegrid1,7,11,0,40,0.015603028237819672,0.015928328037261963,"{'weight_avg': [0.06014183908700943, 0.002722602803260088, -0.011800356209278107, 0.02647649310529232, -0.008901177905499935, -3.939103407901712e-05, 0.011370671913027763, 0.12845173478126526], 'bias_avg': [0.02372027561068535, 0.024134906008839607, 0.06684473901987076, 0.018775291740894318, 0.03422662243247032, 0.02114006131887436, 0.05747775733470917, -0.02328609488904476]}"
simplegrid1,7,11,0,0,0.059126581996679306,0.05407321825623512,"{'weight_avg': [0.04675717651844025, -0.001612869556993246, -0.00928913988173008, 0.011710241436958313, -0.01732264645397663, -0.005760065745562315, -0.005946116056293249, -0.03678246587514877], 'bias_avg': [0.02156100422143936, 0.019408538937568665, 0.025505246594548225, 0.007920503616333008, 0.016743438318371773, 0.007315908093005419, 0.006109337788075209, -0.03859905153512955]}"
simplegrid1,7,3,1,80,0.056500546634197235,0.057041946798563004,"{'weight_avg': [0.13694241642951965, -0.6266518831253052, -0.23997460305690765, 0.056682005524635315, -0.036411866545677185, -0.15264470875263214, -0.11407335847616196, -0.17571984231472015], 'bias_avg': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.42443594336509705]}"
simplegrid1,7,3,1,20,0.05649891868233681,0.057043127715587616,"{'weight_avg': [0.13694241642951965, -0.6266518831253052, -0.23997460305690765, 0.056682005524635315, -0.036411866545677185, -0.15264470875263214, -0.11407335847616196, -0.17571984231472015], 'bias_avg': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.42245978116989136]}"
simplegrid1,7,3,1,60,0.056499939411878586,0.05704252049326897,"{'weight_avg': [0.13694241642951965, -0.6266518831253052, -0.23997460305690765, 0.056682005524635315, -0.036411866545677185, -0.15264470875263214, -0.11407335847616196, -0.17571984231472015], 'bias_avg': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.42338478565216064]}"
